unit_id,floorplan_code,bed_type,bath_count,sqft,market_rent,lease_rent,status,as_of_date
U001,A1,1,1,700,1280,1200,occupied,2026-06-30
U002,A1,1,1,700,1280,1200,occupied,2026-06-30
U003,A1,1,1,700,1280,1200,occupied,2026-06-30
U004,A1,1,1,700,1280,1200,occupied,2026-06-30
U005,A1,1,1,700,1280,1200,occupied,2026-06-30
U006,A1,1,1,700,1280,1200,occupied,2026-06-30
U007,A1,1,1,700,1280,1200,occupied,2026-06-30
U008,A1,1,1,700,1280,1200,occupied,2026-06-30
U009,A1,1,1,700,1280,1200,occupied,2026-06-30
U010,A1,1,1,700,1280,1200,occupied,2026-06-30
U011,A1,1,1,700,1280,1200,occupied,2026-06-30
U012,A1,1,1,700,1280,1200,occupied,2026-06-30
U013,A1,1,1,700,1280,1200,occupied,2026-06-30
U014,A1,1,1,700,1280,1200,occupied,2026-06-30
U015,A1,1,1,700,1280,1200,occupied,2026-06-30
U016,A1,1,1,700,1280,1200,occupied,2026-06-30
U017,A1,1,1,700,1280,1200,occupied,2026-06-30
U018,A1,1,1,700,1280,1200,occupied,2026-06-30
U019,A1,1,1,700,1280,1200,occupied,2026-06-30
U020,A1,1,1,700,1280,1200,occupied,2026-06-30
U021,A1,1,1,700,1280,1200,occupied,2026-06-30
U022,A1,1,1,700,1280,1200,occupied,2026-06-30
U023,A1,1,1,700,1280,1200,occupied,2026-06-30
U024,A1,1,1,700,1280,1200,occupied,2026-06-30
U025,A1,1,1,700,1280,1200,occupied,2026-06-30
U026,A1,1,1,700,1280,1200,occupied,2026-06-30
U027,A1,1,1,700,1280,1200,occupied,2026-06-30
U028,A1,1,1,700,1280,1200,occupied,2026-06-30
U029,A1,1,1,700,1280,1200,occupied,2026-06-30
U030,A1,1,1,700,1280,1200,occupied,2026-06-30
U031,A1,1,1,700,1280,1200,occupied,2026-06-30
U032,A1,1,1,700,1280,1200,occupied,2026-06-30
U033,A1,1,1,700,1280,1200,occupied,2026-06-30
U034,A1,1,1,700,1280,1200,occupied,2026-06-30
U035,A1,1,1,700,1280,1200,occupied,2026-06-30
U036,A1,1,1,700,1280,1200,occupied,2026-06-30
U037,A1,1,1,700,1280,1200,occupied,2026-06-30
U038,A1,1,1,700,1280,1200,occupied,2026-06-30
U039,A1,1,1,700,1280,1200,occupied,2026-06-30
U040,A1,1,1,700,1280,1200,occupied,2026-06-30
U041,B1,2,2,950,1480,1400,occupied,2026-06-30
U042,B1,2,2,950,1480,1400,occupied,2026-06-30
U043,B1,2,2,950,1480,1400,occupied,2026-06-30
U044,B1,2,2,950,1480,1400,occupied,2026-06-30
U045,B1,2,2,950,1480,1400,occupied,2026-06-30
U046,B1,2,2,950,1480,1400,occupied,2026-06-30
U047,B1,2,2,950,1480,1400,occupied,2026-06-30
U048,B1,2,2,950,1480,1400,occupied,2026-06-30
U049,B1,2,2,950,1480,1400,occupied,2026-06-30
U050,B1,2,2,950,1480,1400,occupied,2026-06-30
U051,B1,2,2,950,1480,1400,occupied,2026-06-30
U052,B1,2,2,950,1480,1400,occupied,2026-06-30
U053,B1,2,2,950,1480,1400,occupied,2026-06-30
U054,B1,2,2,950,1480,1400,occupied,2026-06-30
U055,B1,2,2,950,1480,1400,occupied,2026-06-30
U056,B1,2,2,950,1480,1400,occupied,2026-06-30
U057,B1,2,2,950,1480,1400,occupied,2026-06-30
U058,B1,2,2,950,1480,1400,occupied,2026-06-30
U059,B1,2,2,950,1480,1400,occupied,2026-06-30
U060,B1,2,2,950,1480,1400,occupied,2026-06-30
U061,B1,2,2,950,1480,1400,occupied,2026-06-30
U062,B1,2,2,950,1480,1400,occupied,2026-06-30
U063,B1,2,2,950,1480,1400,occupied,2026-06-30
U064,B1,2,2,950,1480,1400,occupied,2026-06-30
U065,B1,2,2,950,1480,1400,occupied,2026-06-30
U066,B1,2,2,950,1480,1400,occupied,2026-06-30
U067,B1,2,2,950,1480,1400,occupied,2026-06-30
U068,B1,2,2,950,1480,1400,occupied,2026-06-30
U069,B1,2,2,950,1480,1400,occupied,2026-06-30
U070,B1,2,2,950,1480,1400,occupied,2026-06-30
U071,B1,2,2,950,1480,1400,occupied,2026-06-30
U072,B1,2,2,950,1480,1400,occupied,2026-06-30
U073,B1,2,2,950,1480,0,vacant,2026-06-30
U074,B1,2,2,950,1480,0,vacant,2026-06-30
U075,B1,2,2,950,1480,0,vacant,2026-06-30
U076,B1,2,2,950,1480,0,vacant,2026-06-30
U077,B1,2,2,950,1480,0,vacant,2026-06-30
U078,B1,2,2,950,1480,0,vacant,2026-06-30
U079,B1,2,2,950,1480,0,down,2026-06-30
U080,B1,2,2,950,1480,0,down,2026-06-30
